frame,initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
lab,basis,filon,2,6,65536,,,10610.32754883
lab,basis,hermite,0,2,16,,,0.674259603
lab,basis,hermite,0,2,32,0.3839807660261621,20.913443385843873,0.903319723
lab,basis,hermite,0,2,64,0.7435684056749464,9.849463512351237,1.338161532
lab,basis,hermite,0,2,128,1.230150791095362,18.99438495250703,1.976211771
lab,basis,hermite,0,2,256,0.47339363102308235,19.219967323607296,3.184842347
lab,basis,hermite,0,2,512,0.7818499118411841,19.387713202114117,3.029185986
lab,basis,hermite,0,2,1024,0.46291963061216096,16.693345240840944,2.631919712
lab,basis,hermite,0,2,2048,1.1429897615479347,19.667812145264723,2.682860343
lab,basis,hermite,0,2,4096,0.9643155248073233,19.508907899173575,2.755300819
lab,basis,hermite,0,2,8192,0.7595661390090828,17.006010353871904,4.331959332
lab,basis,hermite,0,2,16384,0.6274276613789262,19.57794834385951,7.992305512
lab,basis,hermite,0,2,32768,0.6049663461890982,19.395901523483484,16.988744927
lab,basis,hermite,0,2,65536,0.9495447318328513,19.81378519081624,28.988227347
lab,basis,hermite,0,2,131072,1.014968819596178,20.52028708286026,71.743515546
lab,basis,hermite,0,2,262144,1.060559712131958,21.688183946943226,120.861172612
lab,basis,hermite,0,2,524288,0.7768364814655785,19.425125368701057,222.061891819
lab,basis,hermite,0,2,1048576,0.9295116708754096,19.449974601282676,456.375102541
lab,basis,hermite,0,2,2097152,0.8234923681729701,17.133822704645187,766.434780733
lab,basis,hermite,0,2,4194304,0.6881355216970202,11.712100410512898,1687.50251234
lab,basis,hermite,0,2,8388608,0.38570049923574284,5.886176298989574,3041.97024658
lab,basis,hermite,0,2,16777216,0.13718671863154144,1.9986115870783119,6303.640274562
lab,basis,hermite,1,4,16,,,0.809644514
lab,basis,hermite,1,4,32,16.33224139986178,236.00846120318687,1.985087043
lab,basis,hermite,1,4,64,3.3629550246451836,58.55021043720684,2.863757588
lab,basis,hermite,1,4,128,0.7411839570065047,14.61960406142464,5.77213758
lab,basis,hermite,1,4,256,0.22065346111036904,5.254205739465314,12.743053799
lab,basis,hermite,1,4,512,0.21140614429682072,4.031949867014134,21.877826555
lab,basis,hermite,1,4,1024,0.16816779297826756,4.067592429871907,39.142297399
lab,basis,hermite,1,4,2048,0.21538470016752526,4.301866818342644,39.985148146
lab,basis,hermite,1,4,4096,0.19529213442647142,4.129360239510038,25.736939479
lab,basis,hermite,1,4,8192,0.14468438149198598,3.7345175668690156,28.920102028
lab,basis,hermite,1,4,16384,0.24766672861863367,4.422994550483125,38.402737203
lab,basis,hermite,1,4,32768,0.19510772264664675,4.243355765113199,107.703273302
lab,basis,hermite,1,4,65536,0.1773024289291803,3.7122606457531893,116.102712797
lab,basis,hermite,1,4,131072,0.16621157589050115,3.531169596904926,209.993069826
lab,basis,hermite,1,4,262144,0.12297337681834827,2.1936176739042708,290.210810127
lab,basis,hermite,1,4,524288,0.047241277144540454,0.772403350010056,559.147680075
lab,basis,hermite,1,4,1048576,0.0071146797457004645,0.10708436285703797,724.765455754
lab,basis,hermite,1,4,2097152,0.000506807570903381,0.0074628727157273035,1677.807012027
lab,basis,hermite,1,4,4194304,3.1862484221877155e-5,0.0004687342672042907,3014.849696619
lab,basis,hermite,1,4,8388608,1.9924052857294374e-6,2.9309024533853017e-5,4848.746319603
lab,basis,hermite,1,4,16777216,1.245293126101637e-7,1.8319719931392414e-6,11043.751854579
lab,basis,hermite,2,6,16,,,1.661523125
lab,basis,hermite,2,6,32,24.707824940516176,1893.375076608982,2.675303534
lab,basis,hermite,2,6,64,25.65873929356281,2158.4989204586673,6.515178132
lab,basis,hermite,2,6,128,6.993301570486545,1452.048053172224,10.746102367
lab,basis,hermite,2,6,256,2.2914539860931558,42.216522672293934,22.455765586
lab,basis,hermite,2,6,512,0.15173465602562122,2.483139418519574,35.134949336
lab,basis,hermite,2,6,1024,0.038521038840322416,1.0297724709965423,45.899607605
lab,basis,hermite,2,6,2048,0.04597883426459045,0.9462458113825309,38.904434266
lab,basis,hermite,2,6,4096,0.031189892989247816,0.8952229879773811,35.39835576
lab,basis,hermite,2,6,8192,0.05778737010605086,1.0888295675013353,92.987890791
lab,basis,hermite,2,6,16384,0.04800585097280903,0.957892004810439,264.255277233
lab,basis,hermite,2,6,32768,0.039515271044140605,0.880501919573271,962.165250842
lab,basis,hermite,2,6,65536,0.037406931008126754,0.6648680211609822,1896.574421589
lab,basis,hermite,2,6,131072,0.018684660457794478,0.28958763776217383,689.031332033
lab,basis,hermite,2,6,262144,0.0023957101926565852,0.03902781778440107,628.544898689
lab,basis,hermite,2,6,524288,7.705584408532219e-5,0.0011593775215473434,897.042940293
lab,basis,hermite,2,6,1048576,1.2440913602794305e-6,1.8673769652958986e-5,1439.978905402
lab,basis,hermite,2,6,2097152,1.9510143364124174e-8,2.928477975055386e-7,2896.844608094
lab,basis,hermite,2,6,4194304,3.048249924594325e-10,4.575721420377894e-9,4588.474966818
lab,basis,hermite,2,6,8388608,6.44068205559802e-11,9.89241036832018e-10,8492.58849272
lab,uniform,controlled_filon,0,2,16,,,1.343075374
lab,uniform,controlled_filon,0,2,32,4.285471778243823e7,2.6359749369648108e8,2.206443777
lab,uniform,controlled_filon,0,2,64,2.883597748251926e9,1.6975489210271408e10,4.375597899
lab,uniform,controlled_filon,0,2,128,6.439972161792903e13,3.776035409842065e14,6.526861078
lab,uniform,controlled_filon,0,2,256,6.440076962546388e13,3.7760968156163506e14,17.577584561
lab,uniform,controlled_filon,0,2,512,385456.2704477789,2.260385381320669e6,38.966945698
lab,uniform,controlled_filon,0,2,1024,614.7549381483025,3694.8898334170794,79.11396624
lab,uniform,controlled_filon,0,2,2048,3.067130624024616,31.76589636434649,137.847603448
lab,uniform,controlled_filon,0,2,4096,0.1746639014524267,2.537816019032682,294.025867031
lab,uniform,controlled_filon,0,2,8192,0.07396662489660011,1.065690370985256,538.459324664
lab,uniform,controlled_filon,0,2,16384,0.06262017234610176,0.9414502377342631,864.22382573
lab,uniform,controlled_filon,0,2,32768,0.02423913390095925,0.35963969880817465,1697.259768848
lab,uniform,controlled_filon,0,2,65536,0.03339468872344812,0.46890321228068754,1109.716796432
lab,uniform,controlled_filon,0,2,131072,0.001617116350286471,0.022595130033329216,1080.199758551
lab,uniform,controlled_filon,1,4,16,,,2.351734155
lab,uniform,controlled_filon,1,4,32,722762.4442096766,3.3475221376674287e7,5.047058439
lab,uniform,controlled_filon,1,4,64,1.3697983085683402e16,1.668250696165335e17,9.263048845
lab,uniform,controlled_filon,1,4,128,1.0626325488905306e34,6.288582798426975e34,19.003066754
lab,uniform,controlled_filon,1,4,256,1.0672869099791995e78,6.2575241785246215e78,33.107444683
lab,uniform,controlled_filon,1,4,512,9.449988658981476e278,Inf,69.192827193
lab,uniform,controlled_filon,1,4,1024,9.449988658981476e278,Inf,150.942793124
lab,uniform,controlled_filon,1,4,2048,2.7691654238902578e261,Inf,272.242708664
lab,uniform,controlled_filon,1,4,4096,1.0623887446289425e38,6.228806138583276e38,539.490984226
lab,uniform,controlled_filon,1,4,8192,4.38940122528718e28,2.5735145854094076e29,1039.920115544
lab,uniform,controlled_filon,1,4,16384,0.04177436820796942,0.8831761204736884,1688.323963234
lab,uniform,controlled_filon,1,4,32768,0.0006184850883183321,0.009863319539909588,3285.911055294
lab,uniform,controlled_filon,1,4,65536,8.268422493395685e-5,0.0013210754178980524,1942.677605716
lab,uniform,controlled_filon,1,4,131072,1.1459449118864349e-6,1.572219119305139e-5,2273.889035654
lab,uniform,controlled_filon,2,6,16,,,4.508653232
lab,uniform,controlled_filon,2,6,32,5269.502688143058,694697.3471256642,9.085666273
lab,uniform,controlled_filon,2,6,64,2.5081672768880305e13,8.432286732059561e14,18.733842269
lab,uniform,controlled_filon,2,6,128,1.4999143045486303e39,1.19051991252322e40,36.264895175
lab,uniform,controlled_filon,2,6,256,7.543080177781222e76,4.422561269520186e77,72.819478452
lab,uniform,controlled_filon,2,6,512,2.7286302988496547e119,1.599801319557035e120,148.90944735
lab,uniform,controlled_filon,2,6,1024,2.7286302988496547e119,1.599801319557035e120,284.590152469
lab,uniform,controlled_filon,2,6,2048,7.907775227013893e23,5.374293959504749e24,575.205556812
lab,uniform,controlled_filon,2,6,4096,1.3228260469909662e14,1.1407768410196385e15,1098.159033822
lab,uniform,controlled_filon,2,6,8192,2433.7829364773715,14339.661412863308,1918.862279699
lab,uniform,controlled_filon,2,6,16384,8.064122142411884,48.070339718526455,3028.901559193
lab,uniform,controlled_filon,2,6,32768,1.4452619812418068e-5,0.0002853596317011622,5658.052706028
lab,uniform,controlled_filon,2,6,65536,9.696890180413302e-8,1.326787755756909e-6,3305.56691475
lab,uniform,controlled_filon,2,6,131072,1.1817789022595695e-9,1.630850980624946e-8,4099.753268842
lab,uniform,filon,0,2,16,,,0.617734692
lab,uniform,filon,0,2,32,224.31853931986038,3384.5736817679694,1.080045539
lab,uniform,filon,0,2,64,55.39022535146092,1019.6484104256656,2.053291327
lab,uniform,filon,0,2,128,12.126719087920153,214.63874703819397,3.433197512
lab,uniform,filon,0,2,256,11.145446910421244,141.22790907170852,8.524869813
lab,uniform,filon,0,2,512,8.060970771848647,124.44514407029324,16.462607853
lab,uniform,filon,0,2,1024,1.1937637651146962,15.872761330609016,33.049525165
lab,uniform,filon,0,2,2048,0.6862078016438607,9.930894392235265,70.213716555
lab,uniform,filon,0,2,4096,1.7833512062122097,15.471978649831188,140.472547763
lab,uniform,filon,0,2,8192,26.123815104298686,157.8778043124323,277.81590418
lab,uniform,filon,0,2,16384,31.230952051644085,188.14029124123306,406.703432608
lab,uniform,filon,0,2,32768,17.30261076099413,105.3461208706347,841.609865718
lab,uniform,filon,0,2,65536,4.158556957748516,25.77771764110943,511.473014786
lab,uniform,filon,0,2,131072,0.0171430176879615,0.2748166753061336,481.530285466
lab,uniform,filon,0,2,262144,0.0032260406979267874,0.05246397783386406,557.75729304
lab,uniform,filon,1,4,16,,,2.025994386
lab,uniform,filon,1,4,32,69401.38232494073,8.344891803293363e6,3.949330062
lab,uniform,filon,1,4,64,2.3355095507466644e6,2.5804907857446197e7,6.934453338
lab,uniform,filon,1,4,128,9.646749023073059e18,6.598686279694966e19,14.082697071
lab,uniform,filon,1,4,256,1.0620759751695676e54,6.229911325855827e54,28.404912284
lab,uniform,filon,1,4,512,8.045848481055509e127,4.717296814618837e128,56.452094924
lab,uniform,filon,1,4,1024,5.916271391773924e260,Inf,120.887866156
lab,uniform,filon,1,4,2048,5.916271391773924e260,Inf,244.647225547
lab,uniform,filon,1,4,4096,1.2667430233316933e36,7.42693930035169e36,471.837497104
lab,uniform,filon,1,4,8192,4.276487449418674e27,2.5073130161800564e28,868.073611312
lab,uniform,filon,1,4,16384,0.09139824900267418,1.4530424607067511,1440.760770645
lab,uniform,filon,1,4,32768,0.005892459045276848,0.08802068088050767,2750.795072961
lab,uniform,filon,1,4,65536,0.0007223591572454249,0.010572929999731057,1618.721016643
lab,uniform,filon,1,4,131072,9.686974247421464e-6,0.00015777517311844067,1676.302539011
lab,uniform,filon,2,6,16,,,4.462274762
lab,uniform,filon,2,6,32,2.326829563243885e13,2.4098088986661025e14,8.523711815
lab,uniform,filon,2,6,64,6.481241551729238e21,6.14612451507564e22,17.793839042
lab,uniform,filon,2,6,128,1.2713181203985984e36,8.021325882153002e36,34.741758002
lab,uniform,filon,2,6,256,3.6534810663463295e47,2.1481195081033506e48,69.056832677
lab,uniform,filon,2,6,512,3.6534810663522953e47,2.1481195081066893e48,137.813445248
lab,uniform,filon,2,6,1024,3.9853157582034127e21,2.384062165893569e22,269.826961037
lab,uniform,filon,2,6,2048,3.97735127548432e21,2.3791015498518977e22,509.870508577
lab,uniform,filon,2,6,4096,5.264972691753235e13,4.390574044629473e14,1010.644831231
lab,uniform,filon,2,6,8192,7.113539144219833,52.77278103939734,2038.868032576
lab,uniform,filon,2,6,16384,0.08857493221620767,0.6932007829217237,3283.575022047
lab,uniform,filon,2,6,32768,5.092730420970728e-5,0.0008581029905144408,6030.121841728
lab,uniform,filon,2,6,65536,2.901567159507805e-7,4.592581266137017e-6,3595.200947322
lab,uniform,filon,2,6,131072,3.4224758633547415e-9,5.54897449045642e-8,3921.815230198
lab,uniform,hermite,0,2,16,,,0.175175
lab,uniform,hermite,0,2,32,0.03849521217052313,11.029266072798109,0.333637869
lab,uniform,hermite,0,2,64,0.062381307385289665,1.1725385834199928,0.592164044
lab,uniform,hermite,0,2,128,0.18019704876593634,2.7218070652745365,1.160495358
lab,uniform,hermite,0,2,256,0.4142853508947491,6.909260735610414,2.070589243
lab,uniform,hermite,0,2,512,0.5310758572889692,11.40944085945227,3.764794217
lab,uniform,hermite,0,2,1024,0.4525032520149553,11.192275469469495,6.175533168
lab,uniform,hermite,0,2,2048,0.4741297883857852,11.042317773331092,10.400514341
lab,uniform,hermite,0,2,4096,0.4673349944616521,10.885247967032628,16.455080897
lab,uniform,hermite,0,2,8192,0.47578716429115814,10.993639347784631,11.492036473
lab,uniform,hermite,0,2,16384,0.4872389211263463,11.07885443958086,5.869396045
lab,uniform,hermite,0,2,32768,0.4747994912824265,11.000877321214558,5.909715544
lab,uniform,hermite,0,2,65536,0.4725417562355129,10.928165527381362,9.378378882
lab,uniform,hermite,0,2,131072,0.469978985956881,10.979314482154104,18.021568495
lab,uniform,hermite,0,2,262144,0.46740505793820386,10.981429308224799,42.03126458
lab,uniform,hermite,0,2,524288,0.46885621960794516,10.950393283590392,82.596402723
lab,uniform,hermite,0,2,1048576,0.4713904494693936,11.134954626584888,137.592139221
lab,uniform,hermite,0,2,2097152,0.4664252605446182,11.109410376452987,256.556516346
lab,uniform,hermite,0,2,4194304,0.4818190382081997,10.95454476592756,510.826162982
lab,uniform,hermite,0,2,8388608,0.4671916819054125,10.709230493675948,906.513714461
lab,uniform,hermite,0,2,16777216,0.4601062161151817,10.095473164635981,1708.440279479
