initialCondition,method,s,order,nsteps,final_err,l2_err,t_elapsed
basis,filon,1,4,2048,0.00015448698928282123,0.002396910256384937,66.155666022
basis,filon,1,4,4096,9.765365690138238e-6,0.00015143162959070335,90.675910148
basis,filon,1,4,8192,6.120901560201646e-7,9.490457499209471e-6,154.91541686
basis,filon,1,4,16384,3.828163730114132e-8,5.935397701679863e-7,258.424419786
basis,filon,1,4,32768,2.404453983263362e-9,3.7273374342944455e-8,432.566348412
basis,filon,1,4,65536,3.517008523131643e-10,5.4960440268890725e-9,755.733467946
basis,filon,1,4,131072,6.449712402547118e-10,9.202814761046456e-9,1346.423206561
basis,filon,2,6,16,,,13.606876685
basis,filon,2,6,32,5.84156778093779e13,3.574160049407471e14,26.127373254
basis,filon,2,6,64,4.1836423553336755e49,2.4534025201965877e50,56.187232431
basis,filon,2,6,128,4.183642355333524e49,2.453402520196499e50,111.555714253
basis,filon,2,6,256,3.715439924981049e38,2.1792725268299304e39,211.485472737
basis,filon,2,6,512,2.863807990183901e24,1.6796221037638144e25,233.400568539
basis,filon,2,6,1024,1.2094111418286584e-5,0.0001871293462466181,136.657772249
basis,filon,2,6,2048,2.0358217610453303e-7,3.112193234272032e-6,153.585391782
basis,filon,2,6,4096,3.2495551378616446e-9,4.961047965888689e-8,232.206896865
basis,filon,2,6,8192,5.127745755032413e-11,7.830288902646118e-10,421.149083038
basis,filon,2,6,16384,2.2589049072477594e-11,3.455469185154412e-10,698.475616366
basis,filon,2,6,32768,4.8744805559798486e-11,7.493531229208278e-10,1097.095803799
basis,hermite,0,2,16,,,0.247465424
basis,hermite,0,2,32,0.5667846519538757,10.676325949266186,0.336940592
basis,hermite,0,2,64,0.28572359891159504,4.921748633128221,0.301554613
basis,hermite,0,2,128,0.14195980158049312,2.2357611457244038,0.347014444
basis,hermite,0,2,256,0.31705677318492165,5.363058286499604,0.435220036
basis,hermite,0,2,512,0.09301373735400953,1.3337860441976677,0.656536744
basis,hermite,0,2,1024,0.46770683489483783,6.882146517180183,0.966039519
basis,hermite,0,2,2048,0.6029508347696529,13.68335917734069,1.568034477
basis,hermite,0,2,4096,0.8521918326828022,15.188476457467383,2.842091922
basis,hermite,0,2,8192,0.3009757066037851,4.842462895376436,6.422104596
basis,hermite,0,2,16384,0.0740062307016875,1.183661510986665,10.359752363
basis,hermite,0,2,32768,0.018288338545269595,0.29209034744861256,19.548408237
basis,hermite,0,2,65536,0.004553384244777645,0.07271355593080757,36.437120371
basis,hermite,0,2,131072,0.0011370819623727595,0.018157898433124684,71.049572595
basis,hermite,0,2,262144,0.00028418985023248203,0.004538174914255406,134.037914497
basis,hermite,0,2,524288,7.104239695907617e-5,0.0011344621987806733,253.790487241
basis,hermite,1,4,16,,,1.014450458
basis,hermite,1,4,32,1.4045060071236412e16,8.235704831761408e16,0.457454206
basis,hermite,1,4,64,0.14849524550954019,2.5338575145432083,0.347176288
basis,hermite,1,4,128,0.03808643501316387,0.5431279896692238,0.635846905
basis,hermite,1,4,256,0.05577470851760049,0.971421263648002,1.441126195
basis,hermite,1,4,512,0.14951939076520243,3.0361236594325374,2.429033246
basis,hermite,1,4,1024,0.14250546135325332,2.3796738765760623,4.003269514
basis,hermite,1,4,2048,0.011098574839995243,0.18124630073255205,4.625826763
basis,hermite,1,4,4096,0.0008033932878831608,0.012837736845837588,6.063999659
basis,hermite,1,4,8192,5.1101220224216004e-5,0.0008148060138630999,11.69133294
basis,hermite,1,4,16384,3.2037391888311208e-6,5.107752867531326e-5,20.408794808
basis,hermite,1,4,32768,2.003967391152625e-7,3.194919804436939e-6,37.371226223
basis,hermite,1,4,65536,1.2527450056779798e-8,1.9972429758762849e-7,70.841149883
basis,hermite,1,4,131072,7.829958136781686e-10,1.2483228201113299e-8,131.968887977
basis,hermite,1,4,262144,4.89118211133626e-11,7.806426701947791e-10,247.019105926
basis,hermite,1,4,524288,3.191975155932112e-12,5.1378602614553185e-11,458.439012938
basis,hermite,1,4,1048576,5.895229861088574e-13,9.450910032069332e-12,731.012553344
basis,hermite,1,4,2097152,2.4303669165133983e-11,3.8697419255605076e-10,1346.710329122
basis,hermite,1,4,4194304,2.102225002172202e-11,3.42108697330454e-10,2639.80009422
basis,hermite,2,6,16,,,1.659016854
basis,hermite,2,6,32,7.876009721556697e11,6.482654781495002e12,3.574855198
basis,hermite,2,6,64,7.317662125955956e11,6.190831145207037e12,1.447646917
basis,hermite,2,6,128,0.035946681088010926,0.59755338312231,3.255276547
basis,hermite,2,6,256,0.03256915372086535,0.6942093187674628,10.498466958
basis,hermite,2,6,512,0.030770982976539983,0.5086513184715354,18.266476832
basis,hermite,2,6,1024,0.0009986565928234933,0.01750075309748542,34.360378582
basis,hermite,2,6,2048,2.800442825851402e-5,0.00045125132131606827,13.946996379
basis,hermite,2,6,4096,5.699313120060556e-7,8.965931238546724e-6,11.908763721
basis,hermite,2,6,8192,9.175968145722425e-9,1.4428084063837593e-7,21.414223337
basis,hermite,2,6,16384,1.4451691461626431e-10,2.2721048394199715e-9,35.735694129
basis,hermite,2,6,32768,2.262803577911262e-12,3.557812577767911e-11,64.348055709
basis,hermite,2,6,65536,4.2708216631238054e-14,6.865948791286702e-13,121.28366958
basis,hermite,2,6,131072,1.5783340874771224e-13,2.3971661451447024e-12,214.732404583
basis,hermite,2,6,262144,2.852380407428038e-13,4.969585179064893e-12,393.481298699
basis,hermite,2,6,524288,2.014465238853535e-13,4.077909974165263e-12,744.987251014
uniform,controlled_filon,0,2,16,,,1.537597863
uniform,controlled_filon,0,2,32,3.538659623254686e12,2.077169733092295e13,2.381110048
uniform,controlled_filon,0,2,64,1.0022227367962989e14,5.884139431152374e14,5.201094387
uniform,controlled_filon,0,2,128,8.019472275475351e19,4.8385795446936155e20,9.495977062
uniform,controlled_filon,0,2,256,8.01946401159317e19,4.8385747648017564e20,17.834875862
uniform,controlled_filon,0,2,512,3.2967165352004706e6,1.9383881594743904e7,36.073514982
uniform,controlled_filon,0,2,1024,0.4417640654847889,7.211175319364673,24.411838655
uniform,controlled_filon,0,2,2048,0.03368251721288975,0.47052231908479114,22.60780358
uniform,controlled_filon,0,2,4096,0.006077328792100853,0.08542807434183125,27.832977715
uniform,controlled_filon,0,2,8192,0.0014465360951833727,0.020349171002817554,35.863065571
uniform,controlled_filon,0,2,16384,0.00035757994681046164,0.0050310876962555,54.164910424
uniform,controlled_filon,0,2,32768,8.914826231192548e-5,0.0012543501875050378,93.012665282
uniform,controlled_filon,0,2,65536,2.2271765248156727e-5,0.0003133753674748363,156.853115357
uniform,controlled_filon,0,2,131072,5.566969528864193e-6,7.833020834746437e-5,246.164726449
uniform,controlled_filon,0,2,262144,1.3912527465764142e-6,1.9575910836740142e-5,387.836385763
uniform,controlled_filon,1,4,16,,,2.395496682
uniform,controlled_filon,1,4,32,5.102162825015094e17,3.009170352929416e18,5.224176154
uniform,controlled_filon,1,4,64,1.3488928382503698e47,7.908624265277075e47,9.450730285
uniform,controlled_filon,1,4,128,1.3488928382503698e47,7.908624265277075e47,15.676485919
uniform,controlled_filon,1,4,256,1.9186779072810487e26,1.1253161111681561e27,38.695452523
uniform,controlled_filon,1,4,512,1.91867790519339e26,1.1253161099376153e27,64.316791453
uniform,controlled_filon,1,4,1024,0.014920444244287618,0.29581891714163444,42.386590433
uniform,controlled_filon,1,4,2048,9.837381801610813e-5,0.001439611239414855,42.530409289
uniform,controlled_filon,1,4,4096,5.657610817448884e-6,8.249287113439868e-5,59.532309844
uniform,controlled_filon,1,4,8192,3.4827546097010243e-7,5.074969283237878e-6,79.726926376
uniform,controlled_filon,1,4,16384,2.1697761763435348e-8,3.16131917773078e-7,121.092020625
uniform,controlled_filon,1,4,32768,1.3541840001854973e-9,1.9718464757945093e-8,208.52907344
uniform,controlled_filon,1,4,65536,9.68834113060462e-11,1.403663129539041e-9,364.605142116
uniform,controlled_filon,1,4,131072,1.056178116615207e-10,1.4848290310220862e-9,595.018674362
uniform,controlled_filon,2,6,16,,,4.837296523
uniform,controlled_filon,2,6,32,2.6526421626872115e18,1.5658430827324068e19,9.340670619
uniform,controlled_filon,2,6,64,2.6527692282148147e18,1.5659180020523264e19,18.053504366
uniform,controlled_filon,2,6,128,1.6753070209626984e26,9.824031520396423e26,34.628955867
uniform,controlled_filon,2,6,256,1.6641606225410977e27,9.760675639732166e27,64.814354787
uniform,controlled_filon,2,6,512,1.7472918324550904e27,1.0247761344973441e28,93.924871407
uniform,controlled_filon,2,6,1024,3.608369437889709e-5,0.0005386395783740497,73.242893429
uniform,controlled_filon,2,6,2048,3.461424307861044e-7,5.074901868183954e-6,77.331358726
uniform,controlled_filon,2,6,4096,5.203576373316297e-9,7.606190684050178e-8,97.989475227
uniform,controlled_filon,2,6,8192,8.078443018543846e-11,1.1802923527791035e-9,187.277462838
uniform,controlled_filon,2,6,16384,3.353299983896591e-11,4.769218309284309e-10,273.237647475
uniform,controlled_filon,2,6,32768,3.3221918527890076e-11,4.722645940512023e-10,414.286152221
uniform,filon,0,2,16,,,0.66937093
uniform,filon,0,2,32,215.4939189558154,2347.609791783109,1.345990539
uniform,filon,0,2,64,274.2799477390467,2152.402393149268,2.319503817
uniform,filon,0,2,128,406.8350377956421,2680.0684855397385,4.556726123
uniform,filon,0,2,256,1.410251357170674e10,1.1672799221872417e11,8.86981158
uniform,filon,0,2,512,1.4102513523923456e10,1.1672799188841284e11,18.271761501
uniform,filon,0,2,1024,3.8229370207785878,46.96869675759361,10.791072252
uniform,filon,0,2,2048,0.040449457249749354,0.5729360678568324,10.024890663
uniform,filon,0,2,4096,0.007910889499388393,0.11303584544618066,13.784534686
uniform,filon,0,2,8192,0.0019103722849013259,0.027328689325261685,15.496704891
uniform,filon,0,2,16384,0.00047385322911342484,0.006780453138251111,22.949983149
uniform,filon,0,2,32768,0.00011823590776312499,0.001691967561813076,41.670653696
uniform,filon,0,2,65536,2.9544869033529563e-5,0.0004227967571406572,69.685546486
uniform,filon,0,2,131072,7.385333100872401e-6,0.00010568686448061145,123.21588932
uniform,filon,0,2,262144,1.8461396977616297e-6,2.6419143266824174e-5,200.863431621
uniform,filon,1,4,16,,,1.838306606
uniform,filon,1,4,32,8.046858930985018e16,5.6218039932822125e17,3.852480716
uniform,filon,1,4,64,3.0613776847129785e45,1.7949097984651182e46,7.806828461
uniform,filon,1,4,128,3.0613776847129785e45,1.7949097984651182e46,12.913083857
uniform,filon,1,4,256,2.110617514934158e26,1.2378892688291936e27,31.878114635
uniform,filon,1,4,512,2.1106172917774113e26,1.2378891372884573e27,55.209814528
uniform,filon,1,4,1024,0.014078939203568737,0.2741625362176479,37.459448662
uniform,filon,1,4,2048,0.0001176119284873949,0.0017141327033112573,37.431819151
uniform,filon,1,4,4096,6.711198528219691e-6,9.776742891577436e-5,51.812644902
uniform,filon,1,4,8192,4.1196150454286246e-7,6.0016036717605404e-6,61.10665811
uniform,filon,1,4,16384,2.5641886639452355e-8,3.7357444351540245e-7,96.794155285
uniform,filon,1,4,32768,1.6024454750063989e-9,2.3330069731433163e-8,163.468552197
uniform,filon,1,4,65536,1.0980929080596409e-10,1.596000182528366e-9,285.471674823
uniform,filon,1,4,131072,1.0579384756978134e-10,1.4875143850739667e-9,477.148105556
uniform,filon,2,6,16,,,4.74660985
uniform,filon,2,6,32,3.599639674889349e14,2.2024315171555885e15,9.292572327
uniform,filon,2,6,64,5.6915078573345444e48,3.337656170131583e49,18.506402939
uniform,filon,2,6,128,5.691507857332648e48,3.3376561701305013e49,37.822469528
uniform,filon,2,6,256,2.3519097993142697e39,1.3795008167848567e40,75.288579261
uniform,filon,2,6,512,9.285858937645773e26,5.446152108508189e27,106.376337603
uniform,filon,2,6,1024,4.1424465754314844e-5,0.000609104236693236,87.350932353
uniform,filon,2,6,2048,3.856861185553917e-7,5.617426320705786e-6,88.158852784
uniform,filon,2,6,4096,5.6967788471956595e-9,8.28726014654513e-8,118.35249663
uniform,filon,2,6,8192,8.808275107106787e-11,1.2811899735028531e-9,181.593634891
uniform,filon,2,6,16384,3.353298191850817e-11,4.769333341814651e-10,266.879090044
uniform,filon,2,6,32768,3.322192727176485e-11,4.72263992232455e-10,422.179651851
uniform,hermite,0,2,16,,,0.244547357
uniform,hermite,0,2,32,0.475734778114727,10.778256136502838,0.489821421
uniform,hermite,0,2,64,0.466320751241023,10.823536202100449,0.685748788
uniform,hermite,0,2,128,0.47939831620814594,10.551763822827617,0.836352674
uniform,hermite,0,2,256,0.45188833124088307,10.06723371937636,0.471990074
uniform,hermite,0,2,512,0.42950491144341635,9.613454257080218,0.291005196
uniform,hermite,0,2,1024,0.458242151941326,9.843667070222198,0.36117916
uniform,hermite,0,2,2048,0.4331190646875409,10.15664799503956,0.635071509
uniform,hermite,0,2,4096,0.44103565594290167,9.96083507173067,1.218747734
uniform,hermite,0,2,8192,0.46243395508851076,9.533076994940059,1.314858764
uniform,hermite,0,2,16384,0.361977005693561,8.231839725466898,2.480148975
uniform,hermite,0,2,32768,0.40506286987735657,7.795051936586564,4.183634275
uniform,hermite,0,2,65536,0.2584367638817244,4.689965266794556,8.37073224
uniform,hermite,0,2,131072,0.14472938531630503,2.1250435629727673,15.478574539
uniform,hermite,0,2,262144,0.03960461247584946,0.5624976693890892,32.946401408
uniform,hermite,0,2,524288,0.009958684656556964,0.14115271443423513,64.779147478
uniform,hermite,1,4,16,,,0.396513668
uniform,hermite,1,4,32,4.695774053860562e16,2.7534954544936106e17,0.755339593
uniform,hermite,1,4,64,0.19378696106515275,3.649123470011468,1.618342368
uniform,hermite,1,4,128,0.09774349827030157,2.1541310200095642,3.132302407
uniform,hermite,1,4,256,0.08504430419049451,1.9773210991877392,4.743539221
uniform,hermite,1,4,512,0.08673879621165752,1.9874340457613096,3.356318847
uniform,hermite,1,4,1024,0.08499684735045633,1.9536319119673433,2.317604245
uniform,hermite,1,4,2048,0.07215171877033884,1.6552187020407174,2.892409651
uniform,hermite,1,4,4096,0.05221172970868007,1.516381100345488,3.437549974
uniform,hermite,1,4,8192,0.0456414864561467,0.8181109595334963,2.961082238
uniform,hermite,1,4,16384,0.013057772260218653,0.18680712853128603,4.709747425
uniform,hermite,1,4,32768,0.000851028803773654,0.01206249689572631,8.263096938
uniform,hermite,1,4,65536,5.34122956470886e-5,0.0007570393043783506,16.490632409
uniform,hermite,1,4,131072,3.3416697181480255e-6,4.736316348231649e-5,28.411540668
uniform,hermite,1,4,262144,2.089075435517475e-7,2.960951585028996e-6,56.987815395
uniform,hermite,1,4,524288,1.3057552005879408e-8,1.850712411856804e-7,115.998615275
uniform,hermite,1,4,1048576,8.161565570897682e-10,1.1567303173737306e-8,222.67647387
uniform,hermite,1,4,2097152,5.103433640473819e-11,7.239299230257697e-10,472.096403007
uniform,hermite,1,4,4194304,3.2047090635375307e-12,4.551782017784809e-11,916.421457462
uniform,hermite,2,6,16,,,0.596456628
uniform,hermite,2,6,32,1.40083898552907e12,1.1767985211566768e13,1.223432858
uniform,hermite,2,6,64,1.3904878351802334e12,1.1698595283230248e13,2.671605168
uniform,hermite,2,6,128,0.024244958485191242,0.5325905515250854,5.423951965
uniform,hermite,2,6,256,0.020652729982412313,0.4828229695907863,10.816959902
uniform,hermite,2,6,512,0.02012202356048697,0.46351875958524846,21.118714434
uniform,hermite,2,6,1024,0.015609870505608648,0.3861480586216761,18.710812221
uniform,hermite,2,6,2048,0.017318777541366646,0.36551817365574396,7.822354585
uniform,hermite,2,6,4096,0.005495934066645888,0.14199505746138505,5.327152069
uniform,hermite,2,6,8192,0.0005173938285706696,0.007335975960473097,5.051855633
uniform,hermite,2,6,16384,8.442059785761021e-6,0.00011966497727386837,8.560874152
uniform,hermite,2,6,32768,1.3330561511112696e-7,1.8895896055471566e-6,16.246868657
uniform,hermite,2,6,65536,2.0883839218584865e-9,2.9602592024233744e-8,27.491145616
uniform,hermite,2,6,131072,3.2639381019816024e-11,4.6268428093406686e-10,48.825044331
uniform,hermite,2,6,262144,5.26057903988565e-13,7.437621232385705e-12,103.9788595
uniform,hermite,2,6,524288,9.614013851828931e-15,1.3683295298415309e-13,173.480118182
